DATE,cpercent
12/5/2002,-0.01640625
12/6/2002,0.001588562
12/9/2002,-0.015860428
12/10/2002,0.008058018
12/11/2002,-0.003197442
12/12/2002,-0.008019246
12/13/2002,-0.015359741
12/16/2002,0.015599343
12/17/2002,-0.017784964
12/18/2002,-0.00526749
12/19/2002,-0.00463346
12/20/2002,0.031587697
12/23/2002,-0.004029009
12/24/2002,-0.001618123
12/26/2002,-0.001620746
12/27/2002,-0.015422078
12/30/2002,0.014014839
12/31/2002,0.002439024
1/2/2003,0.02838605
1/3/2003,-0.003943218
1/6/2003,0.007125891
1/7/2003,-0.000786164
1/8/2003,-0.011014949
1/9/2003,0.015910899
1/10/2003,-0.008613939
1/13/2003,-0.000789889
1/14/2003,0.011699605
1/15/2003,-0.007657446
1/16/2003,-0.002362205
1/17/2003,-0.003157064
1/21/2003,-0.005542359
1/22/2003,0.015127389
1/23/2003,0.011764706
1/24/2003,-0.020155039
1/27/2003,-0.01028481
1/28/2003,0.005595524
1/29/2003,0
1/30/2003,-0.015103339
1/31/2003,0.005649718
2/3/2003,0.003210273
2/4/2003,-0.0152
2/5/2003,0
2/6/2003,-0.000812348
2/7/2003,-0.004065041
2/10/2003,0.009795918
2/11/2003,-0.004850445
2/12/2003,-0.006498781
2/13/2003,0.000817661
2/14/2003,0.022058824
2/18/2003,0.011990408
2/19/2003,-0.005529226
2/20/2003,-0.007942812
2/21/2003,0.01601281
2/24/2003,-0.014972419
2/25/2003,0.0056
2/26/2003,-0.007159905
2/27/2003,0.011217949
2/28/2003,-0.006339144
3/3/2003,-0.004784689
3/4/2003,-0.008814103
3/5/2003,0.011317704
3/6/2003,-0.012789768
3/7/2003,0.008097166
3/10/2003,-0.02248996
3/11/2003,-0.005751849
3/12/2003,0.004132231
3/13/2003,0.032098765
3/14/2003,0.001594896
3/17/2003,0.031050955
3/18/2003,0.003861004
3/19/2003,-0.002307692
3/20/2003,0.00693909
3/21/2003,0.029096478
3/24/2003,-0.02827381
3/25/2003,0.013016845
3/26/2003,-0.004535147
3/27/2003,0
3/28/2003,-0.009111617
3/31/2003,-0.003831418
4/1/2003,0.006461538
4/2/2003,0.021553042
4/3/2003,0.001421517
4/4/2003,0.000971236
4/7/2003,-0.010598597
4/8/2003,0.006940253
4/9/2003,-0.014009589
4/10/2003,0.008889902
4/11/2003,0.000979063
4/14/2003,0.002482883
4/15/2003,0.003002101
4/16/2003,-0.034720144
4/17/2003,0.007596899
4/21/2003,-0.001154024
4/22/2003,-0.00061619
4/23/2003,-0.015028902
4/24/2003,-0.01627543
4/25/2003,-0.022430799
4/28/2003,0.031733116
4/29/2003,0.001340694
4/30/2003,-0.007324565
5/1/2003,-0.009044748
5/2/2003,0.010008006
5/5/2003,-0.010622275
5/6/2003,-0.015944235
5/7/2003,-0.010666015
5/8/2003,0.012920747
5/9/2003,-0.002193695
5/12/2003,0.013353961
5/13/2003,-0.007874648
5/14/2003,-0.002510731
5/15/2003,0.021841507
5/16/2003,-0.003178387
5/19/2003,-0.011717816
5/20/2003,0.006371995
5/21/2003,-0.012022121
5/22/2003,0.012168411
5/23/2003,-0.010178729
5/27/2003,0.021052632
5/28/2003,-0.008643933
5/29/2003,-0.013518918
5/30/2003,0.025543302
6/2/2003,-0.01162331
6/3/2003,0.00944
6/4/2003,0.006498653
6/5/2003,-0.010551181
6/6/2003,0.005888907
6/9/2003,-0.001503165
6/10/2003,0
6/11/2003,0.013865779
6/12/2003,0.003125977
6/13/2003,-0.00436273
6/16/2003,0.020970266
6/17/2003,-0.003065604
6/18/2003,0.012761378
6/19/2003,-0.002504934
6/20/2003,-0.004794156
6/23/2003,-0.009252179
6/24/2003,0.002701243
6/25/2003,-0.004772167
6/26/2003,0.007733952
6/27/2003,-0.012970069
6/30/2003,0.002876915
7/1/2003,-0.000775314
7/2/2003,0.007836747
7/3/2003,-0.011625221
7/7/2003,0.013553513
7/8/2003,-0.002459268
7/9/2003,-0.003697997
7/10/2003,-0.003247758
7/11/2003,0.002637704
7/14/2003,-0.002166512
7/15/2003,-0.006746278
7/16/2003,-0.003669295
7/17/2003,-0.002350729
7/18/2003,0.022463085
7/21/2003,0.047395913
7/22/2003,0.009534287
7/23/2003,0.007991282
7/24/2003,0.004324324
7/25/2003,0.014711159
7/28/2003,-0.002970297
7/29/2003,-0.010143283
7/30/2003,-0.001074884
7/31/2003,0.005738881
8/1/2003,-0.008487874
8/4/2003,0.007985037
8/5/2003,-0.008349986
8/6/2003,-0.005325657
8/7/2003,0.004630635
8/8/2003,0.007922218
8/11/2003,0.013933548
8/12/2003,0.014587738
8/13/2003,0.003681322
8/14/2003,-0.01633218
8/15/2003,0.003658365
8/18/2003,0.011776251
8/19/2003,0.00076209
8/20/2003,-0.004361371
8/21/2003,0.006049228
8/22/2003,-0.008086253
8/25/2003,-0.001045151
8/26/2003,0.005370719
8/27/2003,-0.008255862
8/28/2003,-0.004896817
8/29/2003,0.001546573
9/2/2003,-0.01628413
9/3/2003,0.017552622
9/4/2003,-0.018301662
9/5/2003,-0.009428571
9/8/2003,-0.005047592
9/9/2003,-0.004131033
9/10/2003,-0.005894767
9/11/2003,0.016764275
9/12/2003,-0.004751962
9/15/2003,0.001446864
9/16/2003,0.017120566
9/17/2003,-0.003764205
9/18/2003,0.011263991
9/19/2003,0.000916461
9/22/2003,0.000986054
9/23/2003,0.004432874
9/24/2003,-0.011208406
9/25/2003,0.003258944
9/26/2003,0.012993433
9/29/2003,-0.020285814
9/30/2003,-0.508538494
10/1/2003,0.02649486
10/2/2003,0.005359661
10/3/2003,0.024551066
10/6/2003,-0.00123237
10/7/2003,0.004935563
10/8/2003,-0.008185539
10/9/2003,0.019807428
10/10/2003,-0.0013488
10/13/2003,0.006482982
10/14/2003,0.002012882
10/15/2003,-0.012990491
10/16/2003,-0.001492537
10/17/2003,0.006250849
10/20/2003,0.019311276
10/21/2003,0.000264971
10/22/2003,0.004238411
10/23/2003,0.001450805
10/24/2003,-0.003292506
10/27/2003,0.000792812
10/28/2003,0.019936625
10/29/2003,0.004142395
10/30/2003,0.006316875
10/31/2003,0.010376633
11/3/2003,-0.001014327
11/4/2003,0.009011296
11/5/2003,-0.004150943
11/6/2003,0.00543135
11/7/2003,-0.007035176
11/10/2003,-0.002530364
11/11/2003,-0.004312532
11/12/2003,0.005095541
11/13/2003,0.009505703
11/14/2003,-0.014061519
11/17/2003,-0.004329556
11/18/2003,-0.012533572
11/19/2003,-0.004662608
11/20/2003,-0.000650618
11/21/2003,0.009244792
11/24/2003,0.0264482
11/25/2003,-0.004901961
11/26/2003,0.001389415
11/28/2003,-0.003027245
12/1/2003,0.0326417
12/2/2003,-0.008208772
12/3/2003,0.000494132
12/4/2003,0.003827633
12/5/2003,-0.006888069
12/8/2003,0.014986376
12/9/2003,0.000854179
12/10/2003,-0.01316752
12/11/2003,0.003706449
12/12/2003,0.002831118
12/15/2003,0.006505462
12/16/2003,0.01195122
12/17/2003,0.005784526
12/18/2003,-0.000359454
12/19/2003,0.007671102
12/22/2003,0.014035922
12/23/2003,-0.007507331
12/24/2003,-0.004373006
12/26/2003,-0.000356125
12/29/2003,0.003443772
12/30/2003,-0.00260355
12/31/2003,0.008898908
1/2/2004,-0.019522521
1/5/2004,0.019071608
1/6/2004,-0.003060264
1/7/2004,-0.017237308
1/8/2004,-0.006727535
1/9/2004,-0.003386551
1/12/2004,0.00934466
1/13/2004,-0.003486834
1/14/2004,0.009893822
1/15/2004,0.007168459
1/16/2004,0.013997628
1/20/2004,-0.05931212
1/21/2004,0.016664594
1/22/2004,0.00440367
1/23/2004,-0.001826818
1/26/2004,0.006222548
1/27/2004,-0.00448648
1/28/2004,-0.025578563
1/29/2004,-0.006
1/30/2004,-0.005407445
2/2/2004,-0.013781768
2/3/2004,0.011538462
2/4/2004,0.006970849
2/5/2004,-0.00566394
2/6/2004,0.010253165
2/9/2004,-0.005262498
2/10/2004,0.023428643
2/11/2004,0.001846154
2/12/2004,-0.005159705
2/13/2004,-0.016053347
2/17/2004,0.008032129
2/18/2004,-0.008217131
2/19/2004,-0.007029877
2/20/2004,0.007585335
2/23/2004,0.009284818
2/24/2004,-0.011934361
2/25/2004,-0.011449421
2/26/2004,-0.004963727
